Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+1.722849e-03 +7.307918e-01 +1.151337e+03 +3.596726e+02     Pix  2 72
+1.741704e-03 +7.106037e-01 +1.152744e+03 +3.336824e+02     Pix  2 73
+2.018724e-03 +8.020522e-01 +1.102174e+03 +3.708233e+02     Pix  2 74
+1.739038e-03 +7.566246e-01 +1.149182e+03 +3.471580e+02     Pix  2 75
+1.514739e-03 +6.741938e-01 +1.204745e+03 +3.126977e+02     Pix  2 76
+1.936536e-03 +8.149861e-01 +1.080512e+03 +3.801005e+02     Pix  2 77
+1.878682e-03 +7.675063e-01 +1.122029e+03 +3.750179e+02     Pix  2 78
+1.584095e-03 +6.921899e-01 +1.179571e+03 +3.418229e+02     Pix  2 79
+2.105019e-03 +8.755773e-01 +1.070796e+03 +4.548103e+02     Pix  3  0
+1.909091e-03 +7.621522e-01 +1.128514e+03 +3.880058e+02     Pix  3  1
+2.199423e-03 +8.733838e-01 +1.060357e+03 +4.313344e+02     Pix  3  2
+2.061312e-03 +8.299545e-01 +1.084088e+03 +4.352111e+02     Pix  3  3
+2.071392e-03 +8.488652e-01 +1.072051e+03 +4.432287e+02     Pix  3  4
+1.903666e-03 +7.590564e-01 +1.120558e+03 +3.898857e+02     Pix  3  5
+1.964996e-03 +7.845559e-01 +1.111229e+03 +4.265586e+02     Pix  3  6
+2.057008e-03 +7.899154e-01 +1.097098e+03 +4.260869e+02     Pix  3  7
+2.112719e-03 +8.146267e-01 +1.078421e+03 +4.253418e+02     Pix  3  8
+1.878636e-03 +6.441614e-01 +1.187207e+03 +3.450925e+02     Pix  3  9
+1.921554e-03 +7.729457e-01 +1.117302e+03 +3.861671e+02     Pix  3 10
+1.913641e-03 +7.662794e-01 +1.115328e+03 +3.810630e+02     Pix  3 11
+1.811518e-03 +6.328348e-01 +1.214680e+03 +3.232962e+02     Pix  3 12
+1.862069e-03 +7.475802e-01 +1.152654e+03 +3.521389e+02     Pix  3 13
+1.963755e-03 +7.917278e-01 +1.099492e+03 +3.915988e+02     Pix  3 14
+1.924254e-03 +7.784520e-01 +1.116580e+03 +4.079337e+02     Pix  3 15
+1.926008e-03 +7.565542e-01 +1.121224e+03 +3.773520e+02     Pix  3 16
+1.857111e-03 +6.958618e-01 +1.164381e+03 +3.264116e+02     Pix  3 17
