Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+4.435177e-03 +1.206235e+00 +6.087911e+02 +4.269182e+01     Pix  3 10
+4.554383e-03 +1.178220e+00 +6.014828e+02 +5.203487e+01     Pix  3 11
+4.441608e-03 +1.182667e+00 +6.118545e+02 +4.254591e+01     Pix  3 12
+4.547964e-03 +1.197039e+00 +5.976032e+02 +5.803119e+01     Pix  3 13
+4.483945e-03 +1.201890e+00 +5.974954e+02 +5.859810e+01     Pix  3 14
+4.524975e-03 +1.195175e+00 +5.991290e+02 +5.445547e+01     Pix  3 15
+4.597143e-03 +1.214509e+00 +5.961268e+02 +5.382677e+01     Pix  3 16
+4.560740e-03 +1.169034e+00 +5.978872e+02 +5.607293e+01     Pix  3 17
+4.395910e-03 +1.171386e+00 +6.072346e+02 +5.016935e+01     Pix  3 18
+4.299671e-03 +1.188614e+00 +6.067243e+02 +4.919882e+01     Pix  3 19
+4.508682e-03 +1.166192e+00 +5.914630e+02 +6.425595e+01     Pix  3 20
+4.417495e-03 +1.231386e+00 +6.078734e+02 +4.598201e+01     Pix  3 21
+4.595444e-03 +1.174061e+00 +5.957012e+02 +5.901059e+01     Pix  3 22
+4.505728e-03 +1.210977e+00 +6.001552e+02 +5.346358e+01     Pix  3 23
+4.415586e-03 +1.185083e+00 +6.048543e+02 +5.139801e+01     Pix  3 24
+4.446017e-03 +1.201795e+00 +6.034657e+02 +5.118997e+01     Pix  3 25
+4.679776e-03 +1.190510e+00 +5.924731e+02 +6.349453e+01     Pix  3 26
+4.436101e-03 +1.170162e+00 +6.078879e+02 +4.611240e+01     Pix  3 27
+4.562829e-03 +1.161391e+00 +5.955159e+02 +5.744379e+01     Pix  3 28
+4.535822e-03 +1.147318e+00 +5.997281e+02 +5.289304e+01     Pix  3 29
+4.398160e-03 +1.170733e+00 +6.129494e+02 +4.303999e+01     Pix  3 30
+4.383431e-03 +1.213148e+00 +6.037711e+02 +4.746664e+01     Pix  3 31
+4.276192e-03 +1.187709e+00 +6.048214e+02 +4.617494e+01     Pix  3 32
+4.357910e-03 +1.203649e+00 +6.064755e+02 +4.600876e+01     Pix  3 33
